nome_articolo;prezzo_eur;url_produttore;sku;gtin_ean;peso_kg;descrizione;tipo_articolo;preorder_option;brand;categoria;__BRANDS__;__CATS__;__TIPI__;__PRE_OPTS__
;;;;;;;PREORDER;ANTICIPO_SALDO;;;ABYstyle Studio;Action Figures;PREORDER;ANTICIPO_SALDO
Sideshow Marvel Premium Format Gwenom (Statua);915;https://www.heo.com/de/it/product/SS300908;;;;;PREORDER;;Sideshow Collectibles;Statue;Action Toys;Statue;STANDARD;PAGAMENTO_ANTICIPATO
;;;;;;;;;;;Anderson Entertainment;Japan Robot;;
;;;;;;;;;;;Asterion;Replica;;
;;;;;;;;;;;Bandai;EX Exposed;;
;;;;;;;;;;;Beast Kingdom;Preorder Japan World;;
;;;;;;;;;;;Blitzway;Preorder Movie Comics Games;;
;;;;;;;;;;;DID;;;
;;;;;;;;;;;Doctor Collector;;;
;;;;;;;;;;;Evolution Toy;;;
;;;;;;;;;;;Freeing;;;
;;;;;;;;;;;Hasbro;;;
;;;;;;;;;;;Hollywood Collectibles;;;
;;;;;;;;;;;HONO Studio;;;
;;;;;;;;;;;Hot Toys;;;
;;;;;;;;;;;Hot Wheels Elite;;;
;;;;;;;;;;;Infinite Statue;;;
;;;;;;;;;;;Iron Studios;;;
;;;;;;;;;;;InArt;;;
;;;;;;;;;;;King Arts;;;
;;;;;;;;;;;Max Factory;;;
;;;;;;;;;;;Medicos Entertainment;;;
;;;;;;;;;;;Megahouse;;;
;;;;;;;;;;;Mezco Toyz;;;
;;;;;;;;;;;McFarlane Toys;;;
;;;;;;;;;;;Pose+;;;
;;;;;;;;;;;Redman Toys;;;
;;;;;;;;;;;Schomberg Studios;;;
;;;;;;;;;;;Sideshow Collectibles;;;
;;;;;;;;;;;Storm Collectibles;;;
;;;;;;;;;;;Threezero;;;
;;;;;;;;;;;Tweeterhead;;;
;;;;;;;;;;;WHY Studio;;;
