nome_articolo;prezzo_eur;url_produttore;sku;gtin_ean;peso_kg;descrizione;preorder_scadenza;eta;brand;categoria;immagini_urls;Selettore descrizione (opzionale);Selettore galleria (opzionale);ZIP immagini (opzionale)
Asmus Toys The Evil Dead II 1/6 Ash Williams (Action Figure);290;https://www.heo.com/de/it/product/ACT915241;ACT915241;XXXXXXXXXXX;;"Sideshow and Asmus Collectible Toys are proud to present the Ash Williams Sixth Scale Figure!

The Evil Dead II Ash Williams sixth scale figure features an authentic and detailed fully realistic likeness from the feature film EVIL DEAD II directed by Sam Raimi in 1987.

From the scene when Ash has decided to stand up to fight against the evil and retrieve the book, Asmus Toys has brought the deadite fighting warrior to life with outstanding articulation along with a variety of weapons to send the dead back to hell.

Don't miss your chance to add this Ash Williams Sixth Scale Figure to your Evil Dead II collection today!";30/1/2026;Q3 - Q4 2026;Asmus Toys;Preordini Film e Videogiochi;;;;
McFarlane Marvel Collection 1:10 Wv6 Spider-Man Spider-Man #6 (Statua);35;https://www.cosmicgroup.eu/action_figure_model_kit_bust_statue_gadget.php?id=111807;111807;787926148268;;"Straight from the pages of Marvel Comics, inspired by the cover of Spider-Man #6 by Todd McFarlane, here's a figure dedicated to the beloved neighborhood Spider-Man!
Collectible in 1:10 scale with a dedicated base and scenic backdrop.
Card included with character illustration on the front and comic book synopsis on the back.";30/1/2026;Q3 - Q4 2026;McFarlane;Preordini Film e Videogiochi;;;;
McFarlane Marvel Collection 1:10 Wv6 Dr. Strange Strange Tales #128 (Statua);35;https://www.cosmicgroup.eu/action_figure_model_kit_bust_statue_gadget.php?load=1&id=111810;111810;787926148367;;"Straight from the pages of Marvel Comics, inspired by the cover of Strange Tales #128 by master artist Steve Ditko, here's the classic Doctor Strange figure!
Collectible in 1:10 scale with a dedicated base and scenic backdrop.
Card included with character illustration on the front and comic book synopsis on the back.";30/1/2026;Q3 - Q4 2026;McFarlane;Preordini Film e Videogiochi;;;;
Goodsmile Company Great Mazinger Brickroid (Action Figure);16;https://www.heo.com/de/it/product/GSC66726;GSC66726;4580828667266;;"BRICKROID is a series of collectible robots. Standing at around 5cm tall, these robot toys are made with the concept of ""cool and fun""! The series uses a uniform design format to bring together robots from a plethora of media. The small bodies are loaded with all the fun of posing and displaying them.

- The toy stands at approximately 5cm tall and is made with ABS.
- Featuring articulated heads, arms, and legs.
- Included Mazinger Blade can be equipped to hand parts.
- Includes fist parts, hand parts with a 3mm diameter hole and pointing right hand parts for Thunder Break.
- A convex block base is included. The holes on the bottoms of their feet can be attached to 5mm diameter studs, allowing them to be displayed on dedicated stands. They can also be attached to generic brick toys with the same measurements.";26/2/2026;Q4 2026 - Q1 2027;Good Smile Company;Preordini Anime e Manga;;;;
Goodsmile Company Steel Jeeg Brickroid 2-Pack Steel Jeeg: Pantheroid Set (Action Figure);33;https://www.heo.com/de/it/product/GSC67187;GSC67187;4580828671874;;"BRICKROID is a series of collectible robot toys that are made with the concept of ""cool and fun""! The series uses a uniform design format to bring together robots from a plethora of media. The small bodies are loaded with all the fun of posing and displaying them.

- This product is a special set including both Steel Jeeg and Pantheroid. Steel Jeeg is approximately 5cm in height and is made with ABS.
- Featuring articulated heads, arms, and legs.
Head and arms are removable.
- Mach Drill is included and can be equipped to Jeeg.
- Pantheroid is approximately 6cm in height and is made with ABS.
- The back legs are articulated.
- It can be combined with Jeeg to recreate the Jeeg Pantheroid form.
- Jeeg Lance is included. The weapon can be equipped to hand parts when combined.
- Two Convex block bases are included. The holes on the bottoms of Jeeg and Pantheroid's feet can be attached to 5mm diameter studs, allowing them to be displayed on the dedicated stands. They can also be attached to generic brick toys with the same measurements.";26/2/2026;Q4 2026 - Q1 2027;Good Smile Company;Preordini Anime e Manga;;;;
Freeing Getter Robo 3-Pack Dynamic Change Getter Robo (Action Figure);119;https://www.heo.com/de/it/product/FREE51459;FREE51459;4570001514593;;"From the classic super robot series 'Getter Robo' comes a set of the Getter Machines that can all transform just like the series!

The red Eagle, the white Jaguar and the yellow Boar are all included, and can be combined together to recreate Getter-1, Getter-2 and Getter-3! They're small enough to fit in the palm of your hand, but still fitted with loads of joints for all kinds of unique poses!";19/3/2026;Q4 2026 - Q1 2027;Freeing;Preordini Anime e Manga;;;;
Hiya Toys Robocop 2 Exquisite Super 1/12 Robocop (Action Figure);135;https://www.heo.com/de/it/product/HIYAESR0302;HIYAESR0302;6957534205323;;"Unbreakable will, relentless justice. RoboCop 2 Robocop 1/12 Scale Action Figure Joins Hiya Toys EXQUISITE SUPER Series!

When Detroit's descent into chaos is accelerated by a police strike and a new designer drug called ""Nuke,"" only Robocop can stop the mayhem. But in his way are an evil corporation and a bigger and tougher cyborg. Containing the latest in gadgetry and weaponry as well as the brain of a madman who designed ""Nuke,"" this new cyborg is also psychotic and out of control! And it's going to take everything Robocop has to save Detroit from utter anarchy.

This all-new EXQUISITE SUPER Series 1/12 scale Robocop action figure stands approximately 16.5CM tall. Based on RoboCop 2 (1990), faithfully captures the cold, imposing presence of the future law enforcer. Featuring multi-layer metallic paint applications, the armor recreates realistic metal look, while die-cast parts add a solid, weighty feel in hand. Designed with multiple articulations, figure easily achieves dynamic stances including standing, shooting, and combat poses.

Accessories include:
- 6 x interchangeable hands
- 2 x interchangeable faces, and a set of battle-damaged armor parts (helmet and chest armor),
recreating the brutal aftermath of RoboCop's toughest encounters.
- Weapons include ( 2 x sizes of AUTO-9 pistols, 1 x anti-materiel rifle, 1 x wrench and 1 x effect part for AUTO-9. )
The right thigh features a functional compartment for storing AUTO-9, faithfully recreating RoboCop's
iconic 'draw from the leg' moment.
The figure also includes Cain's brain for movie-inspired display, along with a dedicated base and stand for versatile posing and scene setups.";31/3/2026;Q2 - Q3 2027;Hiya Toys;Preordini Film e Videogiochi;;;;
Infinite The Crow Eric Draven 1/6 Luxury Deluxe Edition (Action Figure);429;https://www.cosmicgroup.eu/action_figure_model_kit_bust_statue_gadget.php?load=1&id=111847;111847;xxxxxxxxxxxx;;"Infinite Statue & Collectibles and Kaustic Plastik combine their artistic excellence to present the Maestro Line. The first release is the 1/6 Luxury Action Figure of Eric Draven, protagonist of The Crow (1994).
Crafted with premium techniques, such as hand-grafting Tibetan lamb wool for real hair and exclusive use of authentic leather for the clothing, the action figure offers an incredibly realistic headsculpt, tailored fabric clothing, numerous iconic accessories, and a level of poseability ideal for dynamic display.
Every detail is hand-finished to achieve unprecedented realism and a strong emotional impact.
A high-end, officially licensed product, it represents a must-have for enthusiasts and collectors seeking absolute excellence.
- Head with moving eyes and implanted hair
- 12-inch body
- 13 interchangeable hands
- Black boots (MAGNETIC)
- Genuine leather pants
- Genuine leather coat
- Black shirt
- Antique chair
- Ring with neck cord
- Katana
- Shotgun
- Flying crow
- Electric guitar with genuine leather strap
- Magnetic stand";19/2/2026;Q4 2026 - Q1 2027;Infinite;Preordini Film e Videogiochi;;;;
Infinite The Crow Eric Draven 1/6 Luxury Deluxe Gold Edition (Action Figure);519;https://www.cosmicgroup.eu/action_figure_model_kit_bust_statue_gadget.php?id=111854&nwsl=1;111854;xxxxxxxxxxxx;;"Infinite Statue & Collectibles and Kaustic Plastik combine their artistic excellence to present the Maestro Line. The first release is the 1/6 Luxury Action Figure of Eric Draven, protagonist of The Crow (1994).
Crafted with premium techniques, such as hand-grafting Tibetan lamb wool for real hair and exclusive use of authentic leather for the clothing, the action figure offers an incredibly realistic headsculpt, tailored fabric clothing, numerous iconic accessories, and a level of poseability ideal for dynamic display.
Every detail is hand-finished to achieve unprecedented realism and a strong emotional impact.
A high-end, officially licensed product, it represents a must-have for enthusiasts and collectors seeking absolute excellence.
DELUXE GOLD EDITION
- Head with moving eyes and implanted hair
- 12-inch body
- 13 interchangeable hands
- Black boots (magnetic)
- Genuine leather pants
- Genuine leather coat
- Black shirt
- Antique chair
- Ring with neck cord
- Katana
- Shotgun
- Flying crow
- Electric guitar with genuine leather strap
- Diorama with two tombstones
- Bouquet of flowers
- Perched crow
- Mask
- Magnetic stand";19/2/2026;Q4 2026 - Q1 2027;Infinite;Preordini Film e Videogiochi;;;;
Infinite The Crow Eric Draven 1/6 Luxury Standard Edition (Action Figure);339;https://www.cosmicgroup.eu/action_figure_model_kit_bust_statue_gadget.php?id=111843&nwsl=1;111843;xxxxxxxxxxxx;;"Infinite Statue & Collectibles e Kaustic Plastik uniscono le loro eccellenze artistiche per presentare la Linea Maestro.
La prima uscita è Luxury Action Figure 1/6 di Eric Draven, protagonista di The Crow (1994).
Realizzato con tecniche premium, come l’innesto manuale della lana di Agnello Tibetano per capelli veri e l’utilizzo esclusivo di pelle autentica per l’abbigliamento, l’action figure offre un headsculpt incredibilmente realistico, abiti in stoffa su misura, numerosi accessori iconici e un livello di posabilità ideale per l’esposizione dinamica.
Ogni dettaglio è rifinito a mano per ottenere un realismo senza precedenti e un forte impatto emotivo.
Un prodotto di fascia alta, con licenza ufficiale, che rappresenta un pezzo immancabile per appassionati e collezionisti che cercano eccellenza assoluta.
The Crow -  Eric Draven - 1/6 Scale Luxury Action Figure Standard Edition - Maestro Line
-Testa con occhi mobili e capelli scolpiti
-Corpo da 12 pollici
-13 mani intercambiabili
-Stivali neri (MAGNETICI)
-Pantaloni in vera pelle
-Cappotto in vera pelle
-Maglia nera
-Sedia Antica
-Anello con cordino da collo
-Katana
-Fucile a pompa
-Corvo in volo con stand trasparente
-Chitarra elettrica con tracolla in vera pelle
-Stand Magnetico";19/2/2026;Q4 2026 - Q1 2027;Infinite;Preordini Film e Videogiochi;;;;
